epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.136,1.77577,2.77079,1.61936,0.54446,0.45864,0.46346,0.23392,1.6563,22.188,1.42106,0.0033179,0.0033179,0.0701389
2,184.987,1.61783,1.7715,1.512,0.44436,0.49915,0.47304,0.22755,1.72454,12.7656,1.4561,0.00654149,0.00654149,0.0400291
3,263.932,1.67283,1.73953,1.56168,0.31214,0.22142,0.16817,0.06831,2.33986,89.7344,2.11072,0.00965508,0.00965508,0.0098094
4,343.626,1.70652,1.74171,1.59317,0.50784,0.51211,0.48442,0.23606,1.70664,11.4587,1.4666,0.009505,0.009505,0.009505
5,422.582,1.62636,1.60313,1.53911,0.56735,0.50581,0.51192,0.27256,1.66803,5.49302,1.48016,0.00934,0.00934,0.00934
6,500.843,1.59448,1.5545,1.52419,0.62847,0.52257,0.55493,0.28804,1.52146,5.56563,1.36009,0.009175,0.009175,0.009175
7,579.424,1.56512,1.50826,1.51059,0.61697,0.53315,0.53341,0.29055,1.60142,2.45828,1.41585,0.00901,0.00901,0.00901
8,657.388,1.53574,1.47644,1.49128,0.62837,0.55698,0.57553,0.2989,1.62685,6.86076,1.40321,0.008845,0.008845,0.008845
9,734.835,1.52411,1.43844,1.47793,0.63779,0.57406,0.59365,0.33219,1.45515,2.61299,1.30906,0.00868,0.00868,0.00868
10,812.945,1.49887,1.4176,1.46599,0.59087,0.46152,0.48403,0.2547,1.7053,35.1041,1.49164,0.008515,0.008515,0.008515
11,890.624,1.49085,1.39264,1.45377,0.63361,0.597,0.62616,0.36323,1.40152,1.49143,1.27127,0.00835,0.00835,0.00835
12,968.031,1.46363,1.36902,1.44385,0.64752,0.61384,0.6386,0.35867,1.39625,1.32115,1.27563,0.008185,0.008185,0.008185
13,1047.42,1.45636,1.35518,1.44197,0.61495,0.59156,0.61332,0.34874,1.39419,3.47322,1.26173,0.00802,0.00802,0.00802
14,1125.7,1.43858,1.33802,1.42837,0.64638,0.55051,0.58345,0.32487,1.47172,11.4904,1.31562,0.007855,0.007855,0.007855
15,1203.78,1.43019,1.3264,1.42169,0.65102,0.59621,0.63039,0.35338,1.4612,5.58988,1.27436,0.00769,0.00769,0.00769
16,1282.31,1.4158,1.31646,1.41693,0.65319,0.60066,0.63749,0.36411,1.3336,8.54112,1.24475,0.007525,0.007525,0.007525
17,1360.61,1.41195,1.3019,1.41,0.68755,0.60186,0.6584,0.38239,1.33141,2.1855,1.21478,0.00736,0.00736,0.00736
18,1439.55,1.40087,1.29264,1.40703,0.66919,0.61076,0.65594,0.38652,1.30638,3.56091,1.21823,0.007195,0.007195,0.007195
19,1518.46,1.40207,1.29419,1.40579,0.66623,0.59416,0.63013,0.36621,1.36283,2.24585,1.23481,0.00703,0.00703,0.00703
20,1598.12,1.38591,1.27905,1.39597,0.68692,0.62361,0.67409,0.40604,1.28216,1.35188,1.19269,0.006865,0.006865,0.006865
21,1677.56,1.38294,1.2615,1.39055,0.6858,0.60606,0.6599,0.38998,1.29688,1.60571,1.19253,0.0067,0.0067,0.0067
22,1755.15,1.37838,1.26196,1.39098,0.72028,0.61269,0.68754,0.41363,1.24162,1.55239,1.167,0.006535,0.006535,0.006535
23,1832.27,1.36987,1.25025,1.37876,0.69288,0.62417,0.67791,0.40469,1.25779,1.37518,1.17423,0.00637,0.00637,0.00637
24,1911.55,1.36562,1.23934,1.37852,0.71171,0.63237,0.69464,0.42797,1.20159,1.22702,1.14558,0.006205,0.006205,0.006205
25,1989.45,1.35629,1.22601,1.37151,0.70436,0.63072,0.69115,0.42052,1.2219,1.26653,1.15028,0.00604,0.00604,0.00604
26,2067.05,1.35201,1.22797,1.36877,0.7225,0.62284,0.69374,0.42195,1.22092,1.08593,1.14806,0.005875,0.005875,0.005875
27,2144.96,1.34653,1.22234,1.36863,0.73411,0.62755,0.70514,0.42976,1.19265,1.19241,1.13138,0.00571,0.00571,0.00571
28,2222.82,1.34964,1.21983,1.3686,0.72602,0.62981,0.70564,0.4375,1.19622,1.19411,1.13983,0.005545,0.005545,0.005545
29,2300.54,1.32728,1.20279,1.35869,0.74734,0.62819,0.70656,0.43925,1.18029,1.14684,1.13045,0.00538,0.00538,0.00538
30,2378.48,1.33149,1.20659,1.36033,0.71576,0.62632,0.70448,0.43969,1.17205,1.26577,1.12603,0.005215,0.005215,0.005215
31,2456.08,1.32502,1.20039,1.35385,0.73433,0.63483,0.7173,0.44932,1.15904,1.08438,1.1137,0.00505,0.00505,0.00505
32,2533.79,1.31701,1.18989,1.352,0.74864,0.63735,0.71641,0.44845,1.17947,1.12247,1.13266,0.004885,0.004885,0.004885
33,2611.58,1.31489,1.17937,1.35081,0.72731,0.63817,0.71522,0.44536,1.18374,1.05633,1.1349,0.00472,0.00472,0.00472
34,2690.87,1.31419,1.18472,1.34419,0.72343,0.64135,0.71322,0.45034,1.15757,1.10574,1.11846,0.004555,0.004555,0.004555
35,2773.03,1.30563,1.17877,1.34119,0.76163,0.64115,0.72323,0.45526,1.15971,1.06621,1.11852,0.00439,0.00439,0.00439
36,2850.97,1.29647,1.16615,1.33899,0.77138,0.6295,0.72331,0.45585,1.15361,1.06899,1.11388,0.004225,0.004225,0.004225
37,2929.93,1.29752,1.15402,1.33645,0.74221,0.6484,0.72436,0.45983,1.15259,1.01718,1.11282,0.00406,0.00406,0.00406
38,3008.51,1.2915,1.15553,1.3327,0.73776,0.64682,0.72695,0.46207,1.133,1.05045,1.11137,0.003895,0.003895,0.003895
39,3087.36,1.28623,1.15708,1.33412,0.74043,0.64254,0.7297,0.46149,1.13157,1.04738,1.10001,0.00373,0.00373,0.00373
40,3168.79,1.28036,1.14368,1.32833,0.76026,0.64222,0.72679,0.46101,1.12988,1.13889,1.09776,0.003565,0.003565,0.003565
41,3251.28,1.27339,1.13733,1.31987,0.74785,0.65294,0.72877,0.46431,1.12192,1.10555,1.10267,0.0034,0.0034,0.0034
42,3332.33,1.26633,1.13585,1.32013,0.76324,0.64211,0.72797,0.46358,1.12203,1.05203,1.10109,0.003235,0.003235,0.003235
43,3413.82,1.26093,1.12313,1.31676,0.76052,0.63927,0.73287,0.46893,1.11269,1.00508,1.09851,0.00307,0.00307,0.00307
44,3494.14,1.25832,1.12719,1.31601,0.75173,0.65119,0.73424,0.46821,1.11699,1.02951,1.09669,0.002905,0.002905,0.002905
45,3575.64,1.2599,1.11443,1.30957,0.75121,0.65106,0.7294,0.46503,1.11667,1.03398,1.09461,0.00274,0.00274,0.00274
46,3658.05,1.25253,1.11873,1.30773,0.73635,0.65952,0.73504,0.47086,1.10391,1.05846,1.08826,0.002575,0.002575,0.002575
47,3740.69,1.24849,1.10788,1.30335,0.75622,0.64478,0.73255,0.46957,1.10567,1.01695,1.08621,0.00241,0.00241,0.00241
48,3822.77,1.24275,1.10985,1.30293,0.75727,0.6491,0.73312,0.47056,1.10396,1.02786,1.09047,0.002245,0.002245,0.002245
49,3905.19,1.23815,1.10084,1.30132,0.74435,0.66417,0.73646,0.47067,1.10157,1.02765,1.08541,0.00208,0.00208,0.00208
50,3987.63,1.22722,1.09965,1.29264,0.75787,0.65065,0.73402,0.47173,1.09831,1.07407,1.08463,0.001915,0.001915,0.001915
51,4064.46,1.12986,0.90464,1.20444,0.75383,0.65541,0.73762,0.47616,1.096,1.22267,1.08118,0.00175,0.00175,0.00175
52,4140.08,1.11761,0.89187,1.20006,0.76683,0.65314,0.73793,0.47512,1.0962,1.30958,1.08443,0.001585,0.001585,0.001585
53,4216.52,1.11061,0.8856,1.19434,0.77616,0.65132,0.7392,0.47693,1.0945,1.23369,1.08514,0.00142,0.00142,0.00142
54,4291.5,1.10442,0.87829,1.19229,0.76519,0.65346,0.74049,0.478,1.09365,1.20445,1.08365,0.001255,0.001255,0.001255
55,4366.26,1.09607,0.8693,1.18742,0.76697,0.65437,0.74249,0.47798,1.09181,1.19563,1.08337,0.00109,0.00109,0.00109
56,4443.13,1.09095,0.86567,1.18222,0.77705,0.65496,0.74546,0.48129,1.0869,1.16814,1.08019,0.000925,0.000925,0.000925
